military action is a hypernym of amphibious landing.,True,1,"psychological feature is a hypernym of event, event is a hypernym of group action, group action is a hypernym of military action, military action is a hypernym of amphibious landing."
military action is not a hypernym of amphibious landing.,False,1,"psychological feature is a hypernym of event, event is a hypernym of group action, group action is a hypernym of military action, military action is a hypernym of amphibious landing."
group action is a hypernym of amphibious landing.,True,2,"psychological feature is a hypernym of event, event is a hypernym of group action, group action is a hypernym of military action, military action is a hypernym of amphibious landing."
group action is not a hypernym of amphibious landing.,False,2,"psychological feature is a hypernym of event, event is a hypernym of group action, group action is a hypernym of military action, military action is a hypernym of amphibious landing."
event is a hypernym of amphibious landing.,True,3,"psychological feature is a hypernym of event, event is a hypernym of group action, group action is a hypernym of military action, military action is a hypernym of amphibious landing."
event is not a hypernym of amphibious landing.,False,3,"psychological feature is a hypernym of event, event is a hypernym of group action, group action is a hypernym of military action, military action is a hypernym of amphibious landing."
psychological feature is a hypernym of amphibious landing.,True,4,"psychological feature is a hypernym of event, event is a hypernym of group action, group action is a hypernym of military action, military action is a hypernym of amphibious landing."
psychological feature is not a hypernym of amphibious landing.,False,4,"psychological feature is a hypernym of event, event is a hypernym of group action, group action is a hypernym of military action, military action is a hypernym of amphibious landing."
larceny is a hypernym of breach of trust with fraudulent intent.,True,1,"transgression is a hypernym of crime, crime is a hypernym of felony, felony is a hypernym of larceny, larceny is a hypernym of breach of trust with fraudulent intent."
larceny is not a hypernym of breach of trust with fraudulent intent.,False,1,"transgression is a hypernym of crime, crime is a hypernym of felony, felony is a hypernym of larceny, larceny is a hypernym of breach of trust with fraudulent intent."
felony is a hypernym of breach of trust with fraudulent intent.,True,2,"transgression is a hypernym of crime, crime is a hypernym of felony, felony is a hypernym of larceny, larceny is a hypernym of breach of trust with fraudulent intent."
felony is not a hypernym of breach of trust with fraudulent intent.,False,2,"transgression is a hypernym of crime, crime is a hypernym of felony, felony is a hypernym of larceny, larceny is a hypernym of breach of trust with fraudulent intent."
crime is a hypernym of breach of trust with fraudulent intent.,True,3,"transgression is a hypernym of crime, crime is a hypernym of felony, felony is a hypernym of larceny, larceny is a hypernym of breach of trust with fraudulent intent."
crime is not a hypernym of breach of trust with fraudulent intent.,False,3,"transgression is a hypernym of crime, crime is a hypernym of felony, felony is a hypernym of larceny, larceny is a hypernym of breach of trust with fraudulent intent."
transgression is a hypernym of breach of trust with fraudulent intent.,True,4,"transgression is a hypernym of crime, crime is a hypernym of felony, felony is a hypernym of larceny, larceny is a hypernym of breach of trust with fraudulent intent."
transgression is not a hypernym of breach of trust with fraudulent intent.,False,4,"transgression is a hypernym of crime, crime is a hypernym of felony, felony is a hypernym of larceny, larceny is a hypernym of breach of trust with fraudulent intent."
option is a hypernym of naked option.,True,1,"document is a hypernym of legal document, legal document is a hypernym of derivative instrument, derivative instrument is a hypernym of option, option is a hypernym of naked option."
option is not a hypernym of naked option.,False,1,"document is a hypernym of legal document, legal document is a hypernym of derivative instrument, derivative instrument is a hypernym of option, option is a hypernym of naked option."
derivative instrument is a hypernym of naked option.,True,2,"document is a hypernym of legal document, legal document is a hypernym of derivative instrument, derivative instrument is a hypernym of option, option is a hypernym of naked option."
derivative instrument is not a hypernym of naked option.,False,2,"document is a hypernym of legal document, legal document is a hypernym of derivative instrument, derivative instrument is a hypernym of option, option is a hypernym of naked option."
legal document is a hypernym of naked option.,True,3,"document is a hypernym of legal document, legal document is a hypernym of derivative instrument, derivative instrument is a hypernym of option, option is a hypernym of naked option."
legal document is not a hypernym of naked option.,False,3,"document is a hypernym of legal document, legal document is a hypernym of derivative instrument, derivative instrument is a hypernym of option, option is a hypernym of naked option."
document is a hypernym of naked option.,True,4,"document is a hypernym of legal document, legal document is a hypernym of derivative instrument, derivative instrument is a hypernym of option, option is a hypernym of naked option."
document is not a hypernym of naked option.,False,4,"document is a hypernym of legal document, legal document is a hypernym of derivative instrument, derivative instrument is a hypernym of option, option is a hypernym of naked option."
option is a hypernym of covered option.,True,1,"document is a hypernym of legal document, legal document is a hypernym of derivative instrument, derivative instrument is a hypernym of option, option is a hypernym of covered option."
option is not a hypernym of covered option.,False,1,"document is a hypernym of legal document, legal document is a hypernym of derivative instrument, derivative instrument is a hypernym of option, option is a hypernym of covered option."
derivative instrument is a hypernym of covered option.,True,2,"document is a hypernym of legal document, legal document is a hypernym of derivative instrument, derivative instrument is a hypernym of option, option is a hypernym of covered option."
derivative instrument is not a hypernym of covered option.,False,2,"document is a hypernym of legal document, legal document is a hypernym of derivative instrument, derivative instrument is a hypernym of option, option is a hypernym of covered option."
